Brand,Product,Price,Image
Coach,Brooklyn Tote,350,coach_brooklyn.png
Coach,Empire Shoulder Bag,420,coach_empire.png
Coach,Ergo Mini,190,coach_ergo.png
Coach,Lana Satchel,520,coach_lana.png
Coach,Tabby Crossbody,295,coach_tabby.png
Gucci,Ace Sneaker,650,gucci_ace.png
Gucci,GG Marmont Bag,1280,gucci_marmont.png
Gucci,Princetown Loafer,950,gucci_prince.png
Gucci,GG Belt,420,gucci_belt.png
Gucci,Gucci Glasses,320,gucci_glasses.png
Hermès,Birkin Bag,12000,hermes_brikin.png
Hermès,Kelly Bag,9500,hermes_kelly.png
Hermès,Oran Sandals,760,hermes_oran.png
Hermès,H Belt,950,hermes_belt.png
Hermès,Silk Scarf,450,hermes_scarf.png
