Region,Market,Chart,Name,Unit,Source,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Worldwide,Luxury Apparel,Revenue,Total,billion USD (US$),Statista Market Insights,90.4,95.32,84.29,90.15,94.39,102.75,104.31,102.29,104.35,106.17,107.78,109.23,110.54
Worldwide,Luxury Apparel,Revenue Change,Total,percent,Statista Market Insights,0,5.4,-11.6,7,4.7,8.9,1.5,-1.9,2,1.7,1.5,1.3,1.2
Worldwide,Luxury Apparel,Average Revenue per Capita,Total,USD (US$),Statista Market Insights,12.28,12.82,11.23,11.92,12.38,13.37,13.46,13.09,13.25,13.38,13.48,13.55,13.62
Worldwide,Luxury Apparel,Brand Shares (BETA),Ralph Lauren,percent,Statista Market Insights,0,0,0,0,0,0,8,0,0,0,0,0,0
Worldwide,Luxury Apparel,Brand Shares (BETA),Prada,percent,Statista Market Insights,0,0,0,0,0,0,3,0,0,0,0,0,0
Worldwide,Luxury Apparel,Brand Shares (BETA),Chanel,percent,Statista Market Insights,0,0,0,0,0,0,5,0,0,0,0,0,0
Worldwide,Luxury Apparel,Brand Shares (BETA),Other,percent,Statista Market Insights,0,0,0,0,0,0,47,0,0,0,0,0,0
Worldwide,Luxury Apparel,Brand Shares (BETA),Dior,percent,Statista Market Insights,0,0,0,0,0,0,6,0,0,0,0,0,0
Worldwide,Luxury Apparel,Brand Shares (BETA),Louis Vuitton,percent,Statista Market Insights,0,0,0,0,0,0,4,0,0,0,0,0,0
Worldwide,Luxury Apparel,Brand Shares (BETA),Gucci,percent,Statista Market Insights,0,0,0,0,0,0,6,0,0,0,0,0,0
Worldwide,Luxury Apparel,Brand Shares (BETA),Tommy Hilfiger,percent,Statista Market Insights,0,0,0,0,0,0,9,0,0,0,0,0,0
Worldwide,Luxury Apparel,Brand Shares (BETA),Calvin Klein,percent,Statista Market Insights,0,0,0,0,0,0,3,0,0,0,0,0,0
Worldwide,Luxury Apparel,Brand Shares (BETA),Hermès,percent,Statista Market Insights,0,0,0,0,0,0,8,0,0,0,0,0,0
Worldwide,Luxury Apparel,Company Shares,Chanel,percent,Statista Market Insights,0,0,0,0,0,0,5,0,0,0,0,0,0
Worldwide,Luxury Apparel,Company Shares,Ralph Lauren,percent,Statista Market Insights,0,0,0,0,0,0,7,0,0,0,0,0,0
Worldwide,Luxury Apparel,Company Shares,Other,percent,Statista Market Insights,0,0,0,0,0,0,26,0,0,0,0,0,0
Worldwide,Luxury Apparel,Company Shares,Hermès,percent,Statista Market Insights,0,0,0,0,0,0,8,0,0,0,0,0,0
Worldwide,Luxury Apparel,Company Shares,Kering,percent,Statista Market Insights,0,0,0,0,0,0,10,0,0,0,0,0,0
Worldwide,Luxury Apparel,Company Shares,PVH,percent,Statista Market Insights,0,0,0,0,0,0,11,0,0,0,0,0,0
Worldwide,Luxury Apparel,Company Shares,LVMH,percent,Statista Market Insights,0,0,0,0,0,0,23,0,0,0,0,0,0
Worldwide,Luxury Apparel,Company Shares,Hugo Boss,percent,Statista Market Insights,0,0,0,0,0,0,3,0,0,0,0,0,0
Worldwide,Luxury Apparel,Company Shares,Tapestry,percent,Statista Market Insights,0,0,0,0,0,0,3,0,0,0,0,0,0
Worldwide,Luxury Apparel,Company Shares,Prada,percent,Statista Market Insights,0,0,0,0,0,0,3,0,0,0,0,0,0
Worldwide,Luxury Apparel,Online Revenue Share,Offline,percent,Statista Market Insights,89.3,88.6,84.6,84.5,86,87.7,86.7,85.5,84.2,83,82.1,81.5,0
Worldwide,Luxury Apparel,Online Revenue Share,Online,percent,Statista Market Insights,10.7,11.4,15.4,15.5,14,12.3,13.3,14.5,15.8,17,17.9,18.5,0
Worldwide,Luxury Apparel,Mobile/Desktop Split,Mobile,percent,Statista Market Insights,44.7,48.7,50.9,53.5,55.3,56.5,57.3,58.2,58.9,59.4,0,0,0
Worldwide,Luxury Apparel,Mobile/Desktop Split,Desktop,percent,Statista Market Insights,55.3,51.3,49.1,46.5,44.7,43.5,42.7,41.8,41.1,40.6,0,0,0
Worldwide,Luxury Apparel,Revenue Comparison,Albania,million USD (US$),Statista Market Insights,8,9,8,9,10,10,11,11,11,12,12,12,12
Worldwide,Luxury Apparel,Revenue Comparison,Algeria,million USD (US$),Statista Market Insights,51,53,34,45,45,48,49,48,50,51,51,52,53
Worldwide,Luxury Apparel,Revenue Comparison,Angola,million USD (US$),Statista Market Insights,55,62,50,64,71,76,80,83,87,91,94,97,100
Worldwide,Luxury Apparel,Revenue Comparison,Argentina,million USD (US$),Statista Market Insights,103,125,103,115,194,206,217,215,228,238,246,253,258
Worldwide,Luxury Apparel,Revenue Comparison,Armenia,million USD (US$),Statista Market Insights,7,8,7,8,8,8,9,9,9,9,9,9,10
Worldwide,Luxury Apparel,Revenue Comparison,Australia,million USD (US$),Statista Market Insights,"1,576","1,632","1,326","1,845","1,787","1,990","2,062","2,132","2,226","2,310","2,386","2,454","2,516"
Worldwide,Luxury Apparel,Revenue Comparison,Austria,million USD (US$),Statista Market Insights,657,699,623,680,677,707,718,719,729,738,746,753,759
Worldwide,Luxury Apparel,Revenue Comparison,Azerbaijan,million USD (US$),Statista Market Insights,22,24,20,26,26,27,28,29,29,30,31,31,32
Worldwide,Luxury Apparel,Revenue Comparison,Bahrain,million USD (US$),Statista Market Insights,14,15,13,16,18,18,18,19,19,20,20,20,21
Worldwide,Luxury Apparel,Revenue Comparison,Bangladesh,million USD (US$),Statista Market Insights,81,91,65,78,105,112,117,122,130,137,143,148,153
Worldwide,Luxury Apparel,Revenue Comparison,Belarus,million USD (US$),Statista Market Insights,57,61,54,53,42,44,46,45,45,45,45,45,45
