Category: Shopping

Month,Coach: (Worldwide),Gucci: (Worldwide),Hermès: (Worldwide)
2004-01,13,33,2
2004-02,12,33,1
2004-03,12,34,2
2004-04,12,34,2
2004-05,12,32,1
2004-06,12,31,1
2004-07,12,33,1
2004-08,13,32,1
2004-09,12,33,1
2004-10,12,30,1
2004-11,16,37,1
2004-12,24,48,2
2005-01,15,36,1
2005-02,15,39,1
2005-03,15,37,1
2005-04,18,35,1
2005-05,15,36,1
2005-06,14,39,1
2005-07,14,38,2
2005-08,16,37,1
2005-09,13,38,1
2005-10,15,36,1
2005-11,17,42,1
2005-12,31,50,1
2006-01,15,38,1
2006-02,15,37,1
2006-03,15,37,1
2006-04,17,36,1
2006-05,17,36,1
2006-06,16,37,1
2006-07,19,39,1
2006-08,20,39,1
2006-09,20,39,2
2006-10,20,38,1
2006-11,26,40,1
2006-12,39,51,2
2007-01,22,36,1
2007-02,21,35,1
2007-03,20,36,1
2007-04,21,38,1
2007-05,20,36,1
2007-06,19,39,1
2007-07,20,36,1
2007-08,20,35,1
2007-09,21,35,1
2007-10,19,35,1
2007-11,26,38,1
2007-12,38,47,2
2008-01,20,35,1
2008-02,19,39,1
2008-03,20,37,1
2008-04,18,35,1
2008-05,20,36,1
2008-06,18,36,1
2008-07,19,36,1
2008-08,19,35,1
2008-09,18,33,1
2008-10,18,34,1
2008-11,24,39,1
2008-12,34,48,2
2009-01,19,36,2
2009-02,18,36,2
2009-03,18,35,2
2009-04,19,35,2
2009-05,18,35,2
2009-06,17,37,2
2009-07,19,36,2
2009-08,20,35,2
2009-09,17,34,2
2009-10,19,36,2
2009-11,24,40,2
2009-12,33,46,3
2010-01,19,36,2
2010-02,19,35,2
2010-03,18,34,2
2010-04,18,32,3
2010-05,18,34,3
2010-06,16,33,2
2010-07,18,34,2
2010-08,19,34,2
2010-09,18,35,3
2010-10,18,35,3
2010-11,26,38,3
2010-12,35,45,3
2011-01,19,36,3
2011-02,18,34,3
2011-03,18,34,2
2011-04,19,34,3
2011-05,19,34,3
2011-06,16,36,3
2011-07,17,35,3
2011-08,17,35,3
2011-09,18,36,4
2011-10,18,34,4
2011-11,27,39,4
2011-12,34,49,5
2012-01,20,37,4
2012-02,21,35,4
2012-03,20,34,4
2012-04,20,35,4
2012-05,21,37,4
2012-06,18,36,4
2012-07,19,36,4
2012-08,19,33,4
2012-09,18,35,4
2012-10,18,31,4
2012-11,25,36,4
2012-12,33,46,5
2013-01,19,35,4
2013-02,20,33,4
2013-03,19,34,4
2013-04,18,35,4
2013-05,19,34,4
2013-06,16,36,4
2013-07,16,33,4
2013-08,17,32,4
