"brand","year","region","category","revenue","unit","millions_of_euros"
"Coach",2024,NA,"Women’s Handbags",2495.7,"millions of dollars",2398.3677
"Coach",2024,NA,"Women’s Accessories",1079.6,"millions of dollars",1037.4956
"Coach",2024,NA,"Men’s",983.9,"millions of dollars",945.5279
"Coach",2024,NA,"Other Products",536.1,"millions of dollars",515.1921
"Coach",2024,NA,"Total Coach",5095.3,"millions of dollars",4896.5833
"Coach",2023,NA,"Women’s Handbags",2450.7,"millions of dollars",2220.57927
"Coach",2023,NA,"Women’s Accessories",1024.8,"millions of dollars",928.57128
"Coach",2023,NA,"Women’s Accessories",947.1,"millions of dollars",858.16731
"Coach",2023,NA,"Other Products",537.8,"millions of dollars",487.30058
"Coach",2023,NA,"Total Coach",4960.4,"millions of dollars",4494.61844
"Coach",2022,NA,"Women’s Handbags",2574.8,"millions of dollars",2405.63564
"Coach",2022,NA,"Women’s Accessories",942.5,"millions of dollars",880.57775
"Coach",2022,NA,"Men’s",904.8,"millions of dollars",845.35464
"Coach",2022,NA,"Other Products",499.2,"millions of dollars",466.40256
"Coach",2022,NA,"Total Coach",4921.3,"millions of dollars",4597.97059
"Coach",2021,NA,"Women’s Handbags",2302.3,"millions of dollars",2033.62159
"Coach",2021,NA,"Women’s Accessories",776.7,"millions of dollars",686.05911
"Coach",2021,NA,"Men’s",769.3,"millions of dollars",679.52269
"Coach",2021,NA,"Other Products",404.8,"millions of dollars",357.55984
"Coach",2021,NA,"Total Coach",4253.1,"millions of dollars",3756.76323
"Coach",2020,NA,"Women’s Handbags",1852,"millions of dollars",1505.8612
"Coach",2020,NA,"Women’s Accessories",645.4,"millions of dollars",524.77474
"Coach",2020,NA,"Men’s",688,"millions of dollars",559.4128
"Coach",2020,NA,"Other Products",340.3,"millions of dollars",276.69793
"Coach",2020,NA,"Total Coach",3525.7,"millions of dollars",2866.74667
"Coach",2025,"North America",NA,3429.6,"millions of dollars",2963.86032
"Coach",2025,"Greater China",NA,970.2,"millions of dollars",838.44684
"Coach",2025,"Other Asia",NA,769.6,"millions of dollars",665.08832
"Coach",2025,"Other",NA,429.1,"millions of dollars",370.82822
"Coach",2025,"Total",NA,5598.5,"millions of dollars",4838.2237
"Coach",2024,"North America",NA,3078.7,"millions of dollars",2958.6307
"Coach",2024,"Greater China",NA,902.1,"millions of dollars",866.9181
"Coach",2024,"Other Asia",NA,771.4,"millions of dollars",741.3154
"Coach",2024,"Other",NA,343.1,"millions of dollars",329.7191
"Coach",2024,"Total",NA,5095.3,"millions of dollars",4896.5833
"Coach",2023,"North America",NA,3037.5,"millions of dollars",2752.27875
"Coach",2023,"Greater China",NA,896.7,"millions of dollars",812.49987
"Coach",2023,"Other Asia",NA,752.9,"millions of dollars",682.20269
