"Top countries for the online luxury and jewelry industry globally 2024, by traffic",,,
"Leading countries for the online luxury and jewelry industry worldwide in 2024, by total traffic volume",,,
,Traffic share (%),Traffic growth YoY (%)*,Total visits
United States,19.80,11.80,500m-2bn
India,7.50,23,500m-2bn
Japan,7.50,24.20,300-499m
United Kingdom,5.90,5.40,300-499m
Russia,5.40,6,300-499m
Turkey,4.40,38.80,200-299m
Germany,3.90,10.40,200-299m
France,3.80,9.60,200-299m
Vietnam,3.70,17.60,200-299m
Poland,3.40,18.10,200-299m
